date,btc_usd_price
2025-08-07T12:06:16Z,116565
2025-08-08T02:57:33Z,116836
2025-08-09T02:43:39Z,116420
2025-08-10T02:59:29Z,117200
2025-08-11T02:57:14Z,121812
2025-08-12T02:42:10Z,119206
2025-08-13T02:44:11Z,119507
2025-08-14T02:45:17Z,123523
2025-08-15T02:46:36Z,118920
2025-08-16T02:38:20Z,117693
2025-08-17T02:50:25Z,117582
2025-08-18T02:53:32Z,115851
2025-08-19T02:27:31Z,115770
2025-08-20T02:25:30Z,113286
2025-08-21T02:24:48Z,114052
2025-08-22T02:25:33Z,113299
2025-08-23T02:20:28Z,116226
2025-08-24T02:44:28Z,115202
2025-08-25T02:40:06Z,113386
2025-08-26T02:26:38Z,109869
2025-08-27T02:21:19Z,111280
2025-08-28T02:20:40Z,111521
2025-08-29T02:21:13Z,111528
2025-08-30T02:14:48Z,107753
2025-08-31T02:25:36Z,109326
